<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFMO.US,5,20251209,165000,20.03,20.03,20.0232,20.0232,450,0
MFMO.US,5,20251209,165500,20.06,20.06,20.0465,20.0465,750,0
MFMO.US,5,20251209,170000,20.0632,20.08,20.0632,20.0796,6400,0
MFMO.US,5,20251209,170500,20.08,20.08,20.08,20.08,500,0
MFMO.US,5,20251209,173500,20.1,20.1,20.1,20.1,100,0
MFMO.US,5,20251209,174000,20.08,20.08,20.0796,20.0796,2000,0
MFMO.US,5,20251209,174500,20.09,20.09,20.07,20.07,4000,0
MFMO.US,5,20251209,175500,20.1,20.1,20.1,20.1,200,0
MFMO.US,5,20251209,180000,20.11,20.11,20.11,20.11,1000,0
MFMO.US,5,20251209,182000,20.095,20.095,20.09,20.09,700,0
MFMO.US,5,20251209,182500,20.09,20.09,20.07,20.0899,400,0
MFMO.US,5,20251209,185000,20.0396,20.04,20.0396,20.04,500,0
MFMO.US,5,20251209,185500,20.04,20.04,20.04,20.04,500,0
MFMO.US,5,20251209,190000,20.05,20.05,20.0499,20.05,470,0
MFMO.US,5,20251209,191500,20.0274,20.0274,20.0274,20.0274,100,0
MFMO.US,5,20251209,192000,20.0336,20.0336,20.0336,20.0336,150,0
MFMO.US,5,20251209,192500,20.0496,20.05,20.0496,20.05,200,0
MFMO.US,5,20251209,193000,20.05,20.05,20.0499,20.0499,450,0
MFMO.US,5,20251209,200000,20.018,20.018,20.018,20.018,350,0
MFMO.US,5,20251209,201500,20.022,20.022,20.022,20.022,350,0
MFMO.US,5,20251209,203000,20.028,20.028,20.028,20.028,2000,0
MFMO.US,5,20251209,210000,20.0696,20.07,20.0696,20.07,200,0
MFMO.US,5,20251209,210500,20.0796,20.08,20.0796,20.08,200,0
MFMO.US,5,20251209,211500,20.0435,20.0435,20.0435,20.0435,1000,0
MFMO.US,5,20251210,153000,20.24,20.24,20,20,2370,0
MFMO.US,5,20251210,163500,19.93,19.93,19.93,19.93,200,0
MFMO.US,5,20251210,173000,19.99,19.99,19.9798,19.9798,490,0
MFMO.US,5,20251210,173500,19.9897,19.9897,19.9897,19.9897,100,0
MFMO.US,5,20251210,174500,19.97,19.97,19.97,19.97,100,0
MFMO.US,5,20251210,182000,19.9498,19.9498,19.9498,19.9498,500,0
MFMO.US,5,20251210,183500,19.94,19.94,19.9399,19.9399,200,0
MFMO.US,5,20251210,184500,19.93,19.93,19.93,19.93,100,0
MFMO.US,5,20251210,191000,19.945,19.945,19.945,19.945,250,0
MFMO.US,5,20251210,191500,19.95,19.95,19.95,19.95,100,0
MFMO.US,5,20251210,192500,19.93,19.93,19.93,19.93,100,0
MFMO.US,5,20251210,194000,19.93,19.93,19.9299,19.9299,384,0
MFMO.US,5,20251210,200000,19.96,19.96,19.96,19.96,100,0
MFMO.US,5,20251210,201500,20.01,20.01,20.01,20.01,100,0
MFMO.US,5,20251210,202000,20.02,20.02,19.99,19.99,300,0
MFMO.US,5,20251210,202500,19.95,19.95,19.95,19.95,200,0
MFMO.US,5,20251210,204000,19.98,19.98,19.98,19.98,550,0
MFMO.US,5,20251210,210000,20.1,20.1,20.1,20.1,100,0
MFMO.US,5,20251210,210500,20.12,20.12,20.12,20.12,100,0
MFMO.US,5,20251211,155500,19.852,19.852,19.84,19.84,600,0
MFMO.US,5,20251211,162500,20.02,20.02,20.02,20.02,200,0
MFMO.US,5,20251211,163000,19.98,19.98,19.98,19.98,250,0
MFMO.US,5,20251211,163500,19.9835,19.9835,19.9835,19.9835,100,0
MFMO.US,5,20251211,165500,19.99,19.99,19.99,19.99,100,0
MFMO.US,5,20251211,170500,19.97,19.975,19.97,19.975,831,0
MFMO.US,5,20251211,171500,19.945,19.945,19.945,19.945,350,0
MFMO.US,5,20251211,172000,19.97,19.97,19.97,19.97,5399,0
MFMO.US,5,20251211,172500,19.95,19.95,19.95,19.95,100,0
MFMO.US,5,20251211,174000,20.01,20.01,20.01,20.01,100,0
MFMO.US,5,20251211,174500,20.025,20.04,20.01,20.03,5296,0
MFMO.US,5,20251211,175000,20.02,20.02,20.02,20.02,100,0
MFMO.US,5,20251211,175500,19.99,19.99,19.99,19.99,200,0
MFMO.US,5,20251211,190500,20.1,20.1,20.1,20.1,401,0
MFMO.US,5,20251211,193500,20.13,20.13,20.13,20.13,100,0
MFMO.US,5,20251211,201500,20.19,20.19,20.1764,20.1764,2400,0
MFMO.US,5,20251211,203500,20.185,20.185,20.185,20.185,550,0
MFMO.US,5,20251211,213500,20.1831,20.1831,20.1831,20.1831,500,0
MFMO.US,5,20251211,214500,20.19,20.19,20.19,20.19,241,0
MFMO.US,5,20251211,215500,20.195,20.195,20.19,20.19,390,0
MFMO.US,5,20251212,160000,20.02,20.02,20.02,20.02,450,0
MFMO.US,5,20251212,161500,19.9,19.9,19.9,19.9,200,0
MFMO.US,5,20251212,211500,19.68,19.68,19.68,19.68,100,0
MFMO.US,5,20251212,212500,19.67,19.67,19.67,19.67,200,0
MFMO.US,5,20251215,161500,19.57,19.57,19.57,19.57,200,0
MFMO.US,5,20251215,163500,19.535,19.535,19.535,19.535,102,0
MFMO.US,5,20251215,180500,19.6,19.6,19.5932,19.5932,800,0
MFMO.US,5,20251215,181500,19.57,19.57,19.57,19.57,100,0
MFMO.US,5,20251215,182000,19.59,19.59,19.59,19.59,100,0
MFMO.US,5,20251215,185000,19.58,19.58,19.58,19.58,100,0
MFMO.US,5,20251215,192000,19.5593,19.5593,19.5593,19.5593,500,0
MFMO.US,5,20251215,192500,19.53,19.53,19.53,19.53,100,0
MFMO.US,5,20251215,194500,19.58,19.58,19.58,19.58,524,0
MFMO.US,5,20251215,202500,19.5699,19.5699,19.5699,19.5699,100,0
MFMO.US,5,20251215,204000,19.56,19.56,19.56,19.56,100,0
MFMO.US,5,20251215,212000,19.53,19.53,19.53,19.53,100,0
MFMO.US,5,20251216,153000,19.63,19.63,19.63,19.63,371,0
MFMO.US,5,20251216,154000,19.45,19.45,19.45,19.45,1000,0
MFMO.US,5,20251216,161500,19.46,19.46,19.46,19.46,200,0
MFMO.US,5,20251216,165000,19.38,19.38,19.38,19.38,472,0
MFMO.US,5,20251216,175000,19.4,19.4,19.4,19.4,100,0
MFMO.US,5,20251216,200000,19.43,19.43,19.42,19.42,2400,0
MFMO.US,5,20251216,212000,19.48,19.48,19.48,19.48,2739,0
MFMO.US,5,20251216,215500,19.49,19.49,19.49,19.49,100,0
MFMO.US,5,20251217,171000,19.3,19.3,19.29,19.29,1000,0
MFMO.US,5,20251217,180500,19.2468,19.2468,19.2468,19.2468,1300,0
MFMO.US,5,20251217,182000,19.29,19.29,19.29,19.29,100,0
MFMO.US,5,20251217,185000,19.25,19.25,19.25,19.25,1500,0
MFMO.US,5,20251217,193000,19.21,19.21,19.21,19.21,100,0
MFMO.US,5,20251217,202000,19.16,19.16,19.16,19.16,100,0
MFMO.US,5,20251217,203500,19.1,19.1,19.1,19.1,100,0
MFMO.US,5,20251217,205500,19.16,19.16,19.16,19.16,100,0
MFMO.US,5,20251217,211000,19.14,19.14,19.14,19.14,100,0
MFMO.US,5,20251218,153000,19.53,19.53,19.53,19.53,150,0
MFMO.US,5,20251218,162000,19.4,19.4,19.4,19.4,100,0
MFMO.US,5,20251218,164500,19.52,19.52,19.52,19.52,100,0
MFMO.US,5,20251218,172500,19.5,19.5,19.49,19.49,500,0
MFMO.US,5,20251218,174000,19.5195,19.5195,19.515,19.515,800,0
MFMO.US,5,20251218,174500,19.53,19.53,19.5299,19.5299,400,0
MFMO.US,5,20251218,180500,19.45,19.45,19.45,19.45,100,0
MFMO.US,5,20251218,182500,19.4,19.4,19.4,19.4,400,0
MFMO.US,5,20251218,183000,19.41,19.41,19.41,19.41,100,0
MFMO.US,5,20251218,184500,19.476,19.476,19.476,19.476,100,0
MFMO.US,5,20251218,194000,19.5299,19.5299,19.5299,19.5299,150,0
MFMO.US,5,20251218,201500,19.44,19.44,19.44,19.44,105,0
MFMO.US,5,20251218,204500,19.41,19.41,19.395,19.395,2572,0
MFMO.US,5,20251218,210000,19.38,19.38,19.38,19.38,500,0
MFMO.US,5,20251218,210500,19.42,19.42,19.42,19.42,100,0
MFMO.US,5,20251218,211500,19.4396,19.44,19.4396,19.44,621,0
MFMO.US,5,20251218,212000,19.425,19.425,19.425,19.425,100,0
MFMO.US,5,20251218,212500,19.45,19.45,19.4398,19.4398,800,0
MFMO.US,5,20251218,213000,19.44,19.44,19.44,19.44,100,0
MFMO.US,5,20251218,213500,19.442,19.442,19.442,19.442,500,0
MFMO.US,5,20251218,214000,19.435,19.435,19.435,19.435,110,0
MFMO.US,5,20251218,215500,19.42,19.42,19.42,19.42,257,0
MFMO.US,5,20251219,153000,19.59,19.59,19.59,19.59,1224,0
MFMO.US,5,20251219,154000,19.65,19.65,19.65,19.65,200,0
MFMO.US,5,20251219,154500,19.68,19.68,19.68,19.68,397,0
MFMO.US,5,20251219,160000,19.74,19.74,19.72,19.72,300,0
MFMO.US,5,20251219,162500,19.65,19.65,19.65,19.65,250,0
MFMO.US,5,20251219,163500,19.71,19.71,19.675,19.69,1634,0
MFMO.US,5,20251219,164500,19.67,19.67,19.6699,19.6699,1000,0
MFMO.US,5,20251219,165000,19.68,19.68,19.68,19.68,150,0
MFMO.US,5,20251219,170000,19.67,19.67,19.67,19.67,100,0
MFMO.US,5,20251219,171500,19.73,19.73,19.713,19.713,360,0
MFMO.US,5,20251219,172500,19.75,19.75,19.75,19.75,100,0
MFMO.US,5,20251219,175000,19.74,19.74,19.74,19.74,100,0
MFMO.US,5,20251219,183500,19.79,19.79,19.775,19.79,800,0
MFMO.US,5,20251219,184500,19.78,19.78,19.78,19.78,810,0
MFMO.US,5,20251219,185000,19.79,19.79,19.79,19.79,281,0
MFMO.US,5,20251219,191000,19.81,19.81,19.81,19.81,100,0
MFMO.US,5,20251219,191500,19.792,19.792,19.792,19.792,500,0
MFMO.US,5,20251219,193500,19.81,19.81,19.8099,19.8099,2000,0
MFMO.US,5,20251219,194000,19.8,19.8,19.8,19.8,100,0
MFMO.US,5,20251219,195000,19.78,19.78,19.78,19.78,100,0
MFMO.US,5,20251219,201000,19.7899,19.79,19.7899,19.79,400,0
MFMO.US,5,20251219,201500,19.78,19.78,19.7799,19.78,600,0
MFMO.US,5,20251219,203500,19.78,19.78,19.78,19.78,100,0
MFMO.US,5,20251219,211000,19.79,19.79,19.79,19.79,300,0
MFMO.US,5,20251219,213000,19.81,19.81,19.81,19.81,100,0
MFMO.US,5,20251219,213500,19.79,19.8,19.79,19.7999,500,0
MFMO.US,5,20251219,214000,19.8,19.8,19.7864,19.8,500,0
MFMO.US,5,20251219,215000,19.8,19.8,19.8,19.8,100,0
MFMO.US,5,20251219,215500,19.77,19.77,19.76,19.76,1000,0
MFMO.US,5,20251222,153000,20.02,20.12,20.02,20.12,1543,0
MFMO.US,5,20251222,154500,19.9199,19.92,19.9199,19.92,200,0
MFMO.US,5,20251222,155000,19.9,19.93,19.8999,19.93,300,0
MFMO.US,5,20251222,161500,19.895,19.895,19.89,19.89,1105,0
MFMO.US,5,20251222,163500,19.89,19.89,19.89,19.89,200,0
MFMO.US,5,20251222,173000,19.915,19.915,19.915,19.915,100,0
MFMO.US,5,20251222,173500,19.915,19.915,19.915,19.915,100,0
