<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXXD.US,5,20251120,153000,27.68,27.68,27.48,27.52,700,0
TXXD.US,5,20251120,155500,27.61,27.61,27.61,27.61,300,0
TXXD.US,5,20251120,160500,27.06,27.06,27.06,27.06,100,0
TXXD.US,5,20251120,162500,27.315,27.315,27.315,27.315,100,0
TXXD.US,5,20251120,165500,27.3972,27.3972,27.3972,27.3972,100,0
TXXD.US,5,20251120,170500,26.08,26.08,26.08,26.08,100,0
TXXD.US,5,20251120,191500,24.51,24.51,24.51,24.51,100,0
TXXD.US,5,20251120,202000,24.129,24.13,24.129,24.13,400,0
TXXD.US,5,20251121,153000,21.42,21.52,21.42,21.52,300,0
TXXD.US,5,20251121,154500,21.65,21.65,21.65,21.65,115,0
TXXD.US,5,20251121,161500,21.3284,21.3284,21.3284,21.3284,200,0
TXXD.US,5,20251121,162500,21.25,21.25,21.25,21.25,100,0
TXXD.US,5,20251121,173500,20.45,21.07,20.45,21.07,700,0
TXXD.US,5,20251121,185500,21.99,21.99,21.99,21.99,100,0
TXXD.US,5,20251121,193000,21.58,21.58,21.58,21.58,111,0
TXXD.US,5,20251121,194500,22.01,22.01,22.01,22.01,100,0
TXXD.US,5,20251121,211000,21.01,21.01,21.01,21.01,100,0
TXXD.US,5,20251121,212500,20.62,20.6576,20.62,20.6576,200,0
TXXD.US,5,20251121,214000,20.78,20.78,20.78,20.78,100,0
TXXD.US,5,20251121,215500,20.74,20.88,20.63,20.8,10500,0
TXXD.US,5,20251124,153000,22.49,22.85,22.49,22.85,378,0
TXXD.US,5,20251124,153500,22.85,22.85,22.74,22.77,311,0
TXXD.US,5,20251124,154000,22.7,22.7,22.7,22.7,500,0
TXXD.US,5,20251124,154500,22.5,22.5,22.5,22.5,100,0
TXXD.US,5,20251124,155000,22,22,21.98,21.98,2000,0
TXXD.US,5,20251124,174500,23.55,23.58,23.55,23.55,900,0
TXXD.US,5,20251124,180000,23.46,23.46,23.46,23.46,213,0
TXXD.US,5,20251124,182000,23.6,23.6,23.6,23.6,100,0
TXXD.US,5,20251124,182500,23.88,24.175,23.88,24.175,3800,0
TXXD.US,5,20251124,185000,24.43,24.43,24.43,24.43,100,0
TXXD.US,5,20251124,194000,24.7346,24.7346,24.7346,24.7346,163,0
TXXD.US,5,20251124,194500,24.8,24.84,24.8,24.84,300,0
TXXD.US,5,20251124,203000,24.8843,24.8843,24.8843,24.8843,120,0
TXXD.US,5,20251124,211000,24.9,24.9,24.9,24.9,100,0
TXXD.US,5,20251124,212000,24.92,24.92,24.89,24.89,300,0
TXXD.US,5,20251125,153000,23.7,23.7,23.5251,23.5251,295,0
TXXD.US,5,20251125,160500,22.85,22.85,22.84,22.84,600,0
TXXD.US,5,20251125,161000,23.083,23.1,23.083,23.1,200,0
TXXD.US,5,20251125,161500,22.99,22.99,22.97,22.97,200,0
TXXD.US,5,20251125,162500,23.06,23.06,23.06,23.06,129,0
TXXD.US,5,20251125,171500,23.3786,23.3786,23.3786,23.3786,100,0
TXXD.US,5,20251125,183000,24.0274,24.0274,24.0274,24.0274,100,0
TXXD.US,5,20251125,191000,24.4,24.4,24.4,24.4,100,0
TXXD.US,5,20251125,193500,24.5,24.5,24.5,24.5,300,0
TXXD.US,5,20251125,195000,24.4724,24.4724,24.4724,24.4724,124,0
TXXD.US,5,20251125,200500,23.88,23.88,23.88,23.88,200,0
TXXD.US,5,20251125,201500,23.71,23.71,23.71,23.71,700,0
TXXD.US,5,20251125,212000,24.57,24.58,24.39,24.39,1000,0
TXXD.US,5,20251126,153500,24.3101,24.3101,24.3101,24.3101,1000,0
TXXD.US,5,20251126,161500,24.38,24.38,24.37,24.37,400,0
TXXD.US,5,20251126,163500,24.65,24.65,24.6,24.65,400,0
TXXD.US,5,20251126,164000,24.54,24.54,24.54,24.54,100,0
TXXD.US,5,20251126,165000,24.5386,24.5386,24.5386,24.5386,113,0
TXXD.US,5,20251126,184000,25.8844,26.31,25.8844,26.31,2522,0
TXXD.US,5,20251126,184500,26.12,26.19,26.12,26.15,1000,0
TXXD.US,5,20251126,185500,26.1011,26.1011,26.1011,26.1011,500,0
TXXD.US,5,20251126,190000,26.2384,26.2384,26.2384,26.2384,140,0
TXXD.US,5,20251126,191500,26.4,26.52,26.4,26.52,290,0
TXXD.US,5,20251126,193000,26.46,26.46,26.46,26.46,100,0
TXXD.US,5,20251126,193500,26.175,26.47,26.17,26.47,1475,0
TXXD.US,5,20251126,194000,26.27,26.27,26.27,26.27,100,0
TXXD.US,5,20251128,153000,26.47,26.47,25.25,25.25,1613,0
TXXD.US,5,20251128,153500,25.0018,25.0018,25.0018,25.0018,100,0
TXXD.US,5,20251128,154000,25.01,25.01,25,25,400,0
TXXD.US,5,20251128,161500,25.37,25.37,25.37,25.37,100,0
TXXD.US,5,20251128,162500,25.78,25.78,25.78,25.78,100,0
TXXD.US,5,20251128,163000,25.8,25.8,25.75,25.75,200,0
TXXD.US,5,20251128,171000,25.09,25.09,25.09,25.09,100,0
TXXD.US,5,20251128,172000,25.07,25.07,24.925,24.925,200,0
TXXD.US,5,20251128,173000,24.4853,24.4853,24.4853,24.4853,200,0
TXXD.US,5,20251128,173500,24.49,24.49,24.49,24.49,100,0
TXXD.US,5,20251128,180500,24.43,24.43,24.43,24.43,100,0
TXXD.US,5,20251201,153000,19,19,19,19,653,0
TXXD.US,5,20251201,153500,19.0901,19.0901,19.0901,19.0901,100,0
TXXD.US,5,20251201,154500,19.0381,19.0381,19.0381,19.0381,150,0
