<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MATE.US,5,20251217,160500,25.18,25.18,24.43,25.16,2900,0
MATE.US,5,20251217,161000,25.05,25.05,25.015,25.015,200,0
MATE.US,5,20251217,162500,25.21,25.22,25.21,25.22,1020,0
MATE.US,5,20251217,164000,24.98,24.98,24.98,24.98,696,0
MATE.US,5,20251217,181000,24.86,24.86,22.68,22.68,400,0
MATE.US,5,20251217,204500,24.847,24.847,24.847,24.847,121,0
MATE.US,5,20251217,205000,24.8601,24.8601,24.8601,24.8601,242,0
MATE.US,5,20251218,160500,25.2147,25.2147,25.165,25.18,553,0
MATE.US,5,20251218,161500,25.0884,25.123,25.0884,25.12,1024,0
MATE.US,5,20251218,162500,25.28,25.28,25.28,25.28,700,0
MATE.US,5,20251218,164000,25.3889,25.3889,25.3889,25.3889,260,0
MATE.US,5,20251218,181000,25.1,25.1,25.1,25.1,300,0
MATE.US,5,20251218,181500,25.03,25.06,25.03,25.06,600,0
MATE.US,5,20251218,183000,25.06,25.06,25.06,25.06,100,0
MATE.US,5,20251218,184500,25.15,25.15,25.15,25.15,100,0
MATE.US,5,20251218,193500,25.175,25.175,25.175,25.175,895,0
MATE.US,5,20251218,195500,25.174,25.174,25.174,25.174,800,0
MATE.US,5,20251218,201000,25.14,25.175,25.14,25.175,400,0
MATE.US,5,20251218,202000,25.15,25.15,25.15,25.15,100,0
MATE.US,5,20251218,204000,25.13,25.13,25.115,25.115,1000,0
MATE.US,5,20251218,204500,25.1197,25.12,25.1197,25.12,635,0
MATE.US,5,20251218,210000,25.1,25.1,25.065,25.065,600,0
MATE.US,5,20251218,211000,25.13,25.13,25.13,25.13,300,0
MATE.US,5,20251218,212000,25.16,25.16,25.16,25.16,300,0
MATE.US,5,20251218,212500,25.18,25.18,25.18,25.18,300,0
MATE.US,5,20251219,161000,25.52,25.53,25.52,25.52,1280,0
MATE.US,5,20251219,163000,25.5201,25.5201,25.5201,25.5201,859,0
MATE.US,5,20251219,171500,25.495,25.495,25.495,25.495,100,0
MATE.US,5,20251219,173000,25.5,25.55,25.5,25.55,600,0
MATE.US,5,20251219,174000,25.6,25.6,25.6,25.6,100,0
MATE.US,5,20251219,181000,25.58,25.58,25.5799,25.5799,400,0
MATE.US,5,20251219,203500,25.6044,25.6044,25.6044,25.6044,704,0
MATE.US,5,20251219,211500,25.62,25.62,25.62,25.62,100,0
MATE.US,5,20251219,215000,25.61,25.61,25.61,25.61,400,0
MATE.US,5,20251222,155000,25.91,25.91,25.91,25.91,600,0
MATE.US,5,20251222,155500,25.905,25.905,25.905,25.905,200,0
MATE.US,5,20251222,161000,25.855,25.855,25.854,25.854,379,0
MATE.US,5,20251222,161500,25.855,25.86,25.855,25.86,240,0
MATE.US,5,20251222,162500,25.88,25.88,25.8728,25.8728,600,0
MATE.US,5,20251222,163000,25.9,25.91,25.9,25.909,1246,0
MATE.US,5,20251222,163500,25.91,25.91,25.9099,25.9099,600,0
MATE.US,5,20251222,164000,25.905,25.905,25.905,25.905,100,0
MATE.US,5,20251222,170500,25.91,25.91,25.91,25.91,1038,0
MATE.US,5,20251222,173000,25.955,25.955,25.955,25.955,100,0
MATE.US,5,20251222,181000,25.965,25.965,25.9509,25.9509,800,0
MATE.US,5,20251222,182000,25.97,25.979,25.97,25.979,400,0
MATE.US,5,20251222,184000,25.97,25.97,25.97,25.97,600,0
MATE.US,5,20251222,184500,25.975,25.98,25.975,25.98,700,0
MATE.US,5,20251222,194000,25.99,25.99,25.99,25.99,200,0
MATE.US,5,20251222,203000,25.985,25.985,25.985,25.985,300,0
MATE.US,5,20251222,204500,25.99,26.03,25.9899,26.03,1300,0
MATE.US,5,20251222,213000,25.985,25.985,25.985,25.985,115,0
MATE.US,5,20251222,213500,25.99,25.99,25.9899,25.9899,200,0
MATE.US,5,20251222,215500,25.99,25.99,25.9899,25.9899,200,0
