<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDLN.US,5,20251217,185000,35,35.55,34.89,35.4996,20930088,0
MDLN.US,5,20251217,185500,35.5,36.1,35.47,35.9996,4464471,0
MDLN.US,5,20251217,190000,35.98,36.5,35.82,36.41,2808427,0
MDLN.US,5,20251217,190500,36.4073,37.5,36.37,36.895,3683802,0
MDLN.US,5,20251217,191000,36.89,37.46,36.51,36.74,2204481,0
MDLN.US,5,20251217,191500,36.6603,37.25,36.6,37.165,1095679,0
MDLN.US,5,20251217,192000,37.15,37.24,36.13,36.96,1420675,0
MDLN.US,5,20251217,192500,36.97,37.31,36.81,37.24,1059832,0
MDLN.US,5,20251217,193000,37.24,37.51,36.88,37.3,1152155,0
MDLN.US,5,20251217,193500,37.28,37.74,36.88,36.95,1581424,0
MDLN.US,5,20251217,194000,36.99,37.52,36.8801,37.3625,1360915,0
MDLN.US,5,20251217,194500,37.34,37.78,37.12,37.755,1167986,0
MDLN.US,5,20251217,195000,37.757,37.9,37.65,37.835,876050,0
MDLN.US,5,20251217,195500,37.85,38.25,37.81,37.98,1569823,0
MDLN.US,5,20251217,200000,37.9996,38.39,37.85,38.005,1842915,0
MDLN.US,5,20251217,200500,38,38.1569,37.85,37.9,842022,0
MDLN.US,5,20251217,201000,37.91,38.28,37.9,38.2117,683636,0
MDLN.US,5,20251217,201500,38.23,38.49,38.1115,38.135,766873,0
MDLN.US,5,20251217,202000,38.135,38.42,37.78,37.88,1015212,0
MDLN.US,5,20251217,202500,37.88,38.12,37.61,37.7,904086,0
MDLN.US,5,20251217,203000,37.67,38,37.66,37.9996,543858,0
MDLN.US,5,20251217,203500,38,38.12,37.9,38.045,792633,0
MDLN.US,5,20251217,204000,38.045,38.39,38,38.24,809649,0
MDLN.US,5,20251217,204500,38.25,38.59,38,38.44,1061554,0
MDLN.US,5,20251217,205000,38.42,39.32,38.4,39.07,1167159,0
MDLN.US,5,20251217,205500,39.07,39.25,38.67,38.81,779154,0
MDLN.US,5,20251217,210000,38.8,39.1,38.65,38.96,741317,0
MDLN.US,5,20251217,210500,38.975,39.34,38.93,39.26,733323,0
MDLN.US,5,20251217,211000,39.26,39.51,39.22,39.4396,703526,0
MDLN.US,5,20251217,211500,39.42,39.65,39,39.245,781942,0
MDLN.US,5,20251217,212000,39.245,39.73,38.97,39.68,950951,0
MDLN.US,5,20251217,212500,39.7,40.36,39.51,40.25,868842,0
MDLN.US,5,20251217,213000,40.25,40.52,39.99,40.005,956108,0
MDLN.US,5,20251217,213500,40,40.12,39.06,39.395,833853,0
MDLN.US,5,20251217,214000,39.37,40,39.26,39.95,600683,0
MDLN.US,5,20251217,214500,39.97,40.5,39.6,40.495,1075577,0
MDLN.US,5,20251217,215000,40.48,41.25,40.01,40.18,1951096,0
MDLN.US,5,20251217,215500,40.2,41,40.0801,41,4004817,0
MDLN.US,5,20251218,153000,38.15,39.25,38,38.725,1030661,0
MDLN.US,5,20251218,153500,38.725,40.549,38.66,39.88,520940,0
MDLN.US,5,20251218,154000,39.92,39.9298,38.5242,38.945,329839,0
MDLN.US,5,20251218,154500,38.97,39.3,38.51,39.29,291656,0
MDLN.US,5,20251218,155000,39.295,40.35,39.275,40.3399,337800,0
MDLN.US,5,20251218,155500,39.965,40.6999,39.88,40.32,188691,0
MDLN.US,5,20251218,160000,40.32,40.6139,39.5,39.78,244340,0
MDLN.US,5,20251218,160500,39.78,40,39.14,39.94,168300,0
MDLN.US,5,20251218,161000,39.88,39.97,39.62,39.9457,153670,0
MDLN.US,5,20251218,161500,39.9,40,39.25,39.54,209979,0
MDLN.US,5,20251218,162000,39.5,39.8,39.01,39.67,190597,0
MDLN.US,5,20251218,162500,39.74,39.8,39.33,39.3901,151118,0
MDLN.US,5,20251218,163000,39.47,39.668,39.27,39.54,59280,0
MDLN.US,5,20251218,163500,39.54,40,39.5,39.89,213295,0
MDLN.US,5,20251218,164000,39.92,40.99,39.9176,40.6,236679,0
MDLN.US,5,20251218,164500,40.575,40.83,40.06,40.38,206805,0
MDLN.US,5,20251218,165000,40.38,40.66,40.08,40.49,119886,0
MDLN.US,5,20251218,165500,40.49,40.72,40.35,40.69,113033,0
MDLN.US,5,20251218,170000,40.65,41.05,40.56,40.9,337591,0
MDLN.US,5,20251218,170500,40.9499,41,40.61,40.61,154678,0
MDLN.US,5,20251218,171000,40.58,40.8499,40.53,40.7823,91155,0
MDLN.US,5,20251218,171500,40.77,40.98,40.32,40.555,265997,0
MDLN.US,5,20251218,172000,40.565,40.63,39.8,40.44,140017,0
MDLN.US,5,20251218,172500,40.44,40.77,40.375,40.735,122423,0
MDLN.US,5,20251218,173000,40.75,40.8,40.295,40.38,92579,0
MDLN.US,5,20251218,173500,40.395,40.52,40.23,40.4,93822,0
MDLN.US,5,20251218,174000,40.425,40.52,40.205,40.245,90721,0
MDLN.US,5,20251218,174500,40.27,40.43,40.09,40.365,76526,0
MDLN.US,5,20251218,175000,40.365,40.51,40.29,40.42,87102,0
MDLN.US,5,20251218,175500,40.455,40.52,40.25,40.35,93028,0
MDLN.US,5,20251218,180000,40.35,40.4199,40.2,40.4199,110800,0
MDLN.US,5,20251218,180500,40.33,40.4,39.6226,39.75,85558,0
MDLN.US,5,20251218,181000,39.7691,40.02,39.76,39.98,66755,0
MDLN.US,5,20251218,181500,39.975,40.335,39.9702,40.33,64882,0
MDLN.US,5,20251218,182000,40.295,40.39,40.04,40.08,59078,0
MDLN.US,5,20251218,182500,40.1,40.41,40.09,40.4,97521,0
MDLN.US,5,20251218,183000,40.355,40.56,40.275,40.465,223847,0
MDLN.US,5,20251218,183500,40.48,40.52,40.43,40.4862,92897,0
MDLN.US,5,20251218,184000,40.465,40.52,40.41,40.455,91837,0
MDLN.US,5,20251218,184500,40.44,40.51,40.28,40.39,75322,0
MDLN.US,5,20251218,185000,40.37,40.48,40.25,40.34,85191,0
MDLN.US,5,20251218,185500,40.38,40.5,40.335,40.49,89183,0
MDLN.US,5,20251218,190000,40.48,40.5,40.41,40.47,76226,0
MDLN.US,5,20251218,190500,40.47,40.5,40.42,40.5,52344,0
MDLN.US,5,20251218,191000,40.5,40.5,40.355,40.36,95881,0
MDLN.US,5,20251218,191500,40.36,40.405,40.31,40.36,77920,0
MDLN.US,5,20251218,192000,40.36,40.705,40.34,40.66,197532,0
MDLN.US,5,20251218,192500,40.74,41,40.73,40.785,108638,0
MDLN.US,5,20251218,193000,40.74,41,40.74,40.96,90069,0
MDLN.US,5,20251218,193500,40.97,41,40.9,40.9,77385,0
MDLN.US,5,20251218,194000,40.91,40.915,40.75,40.77,54772,0
MDLN.US,5,20251218,194500,40.79,40.99,40.6903,40.92,72671,0
MDLN.US,5,20251218,195000,40.9152,40.99,40.63,40.6811,55252,0
MDLN.US,5,20251218,195500,40.735,40.98,40.68,40.935,109154,0
MDLN.US,5,20251218,200000,40.935,41,40.88,40.97,89029,0
MDLN.US,5,20251218,200500,40.975,41.43,40.93,41.18,289552,0
MDLN.US,5,20251218,201000,41.21,41.74,40.66,40.945,349340,0
MDLN.US,5,20251218,201500,40.97,41.01,40.695,40.695,115115,0
MDLN.US,5,20251218,202000,40.74,40.82,40.485,40.485,88524,0
MDLN.US,5,20251218,202500,40.47,40.62,40.23,40.535,88096,0
MDLN.US,5,20251218,203000,40.535,40.8,40.45,40.48,93154,0
MDLN.US,5,20251218,203500,40.51,40.75,40.0601,40.385,90204,0
MDLN.US,5,20251218,204000,40.385,40.5,40.3,40.395,57475,0
MDLN.US,5,20251218,204500,40.4,40.86,40.39,40.785,125523,0
MDLN.US,5,20251218,205000,40.81,41.02,40.78,40.98,97775,0
MDLN.US,5,20251218,205500,41,41,40.85,40.96,72163,0
MDLN.US,5,20251218,210000,40.91,41,40.8,40.92,81843,0
MDLN.US,5,20251218,210500,40.92,40.99,40.55,40.715,47521,0
MDLN.US,5,20251218,211000,40.78,40.8,40.55,40.705,72818,0
MDLN.US,5,20251218,211500,40.74,40.9,40.55,40.85,62015,0
MDLN.US,5,20251218,212000,40.85,40.88,40.41,40.43,111920,0
MDLN.US,5,20251218,212500,40.42,40.449,39.7117,39.85,139648,0
MDLN.US,5,20251218,213000,39.89,40.26,39.79,39.89,240886,0
MDLN.US,5,20251218,213500,39.95,40.205,39.78,40.155,122357,0
MDLN.US,5,20251218,214000,40.155,40.28,40.095,40.17,210056,0
MDLN.US,5,20251218,214500,40.17,40.25,39.75,40.01,243400,0
MDLN.US,5,20251218,215000,40.01,40.15,39.92,39.975,237623,0
MDLN.US,5,20251218,215500,39.94,40.09,38.63,40.065,1166721,0
MDLN.US,5,20251219,153000,38.82,40.3,38.82,40.29,214637,0
MDLN.US,5,20251219,153500,40.29,40.5,40.0001,40.3,90226,0
MDLN.US,5,20251219,154000,40.3,41.05,40.15,40.79,216713,0
MDLN.US,5,20251219,154500,40.79,41.8,40.79,41.5,320320,0
MDLN.US,5,20251219,155000,41.42,41.9,41.2,41.39,209270,0
MDLN.US,5,20251219,155500,41.38,41.53,41.1,41.135,251858,0
MDLN.US,5,20251219,160000,41.13,41.93,41.0805,41.85,179299,0
MDLN.US,5,20251219,160500,41.88,42.1465,41.69,42.1275,287841,0
MDLN.US,5,20251219,161000,42.15,42.7,42.15,42.635,191690,0
MDLN.US,5,20251219,161500,42.635,42.75,42.3675,42.66,140180,0
MDLN.US,5,20251219,162000,42.66,42.6999,41.7,42.39,120957,0
MDLN.US,5,20251219,162500,42.39,42.49,41.76,42.1601,143907,0
MDLN.US,5,20251219,163000,42.25,42.5,41.895,42.405,110388,0
MDLN.US,5,20251219,163500,42.405,42.89,42.1801,42.45,344985,0
MDLN.US,5,20251219,164000,42.515,43.03,42.51,42.93,183490,0
MDLN.US,5,20251219,164500,42.965,43.42,42.91,43.14,142640,0
MDLN.US,5,20251219,165000,43.25,43.51,43.01,43.4965,184289,0
MDLN.US,5,20251219,165500,43.475,43.52,43.2,43.335,85074,0
MDLN.US,5,20251219,170000,43.3564,43.8753,43.3166,43.78,242670,0
MDLN.US,5,20251219,170500,43.78,43.8635,43.2,43.4,179864,0
MDLN.US,5,20251219,171000,43.4,43.6699,43.21,43.42,198766,0
MDLN.US,5,20251219,171500,43.33,43.37,42.91,42.97,228082,0
MDLN.US,5,20251219,172000,42.96,43.4,42.9,43.26,137459,0
MDLN.US,5,20251219,172500,43.32,43.9,43.31,43.73,174224,0
MDLN.US,5,20251219,173000,43.765,43.805,43.37,43.42,116868,0
MDLN.US,5,20251219,173500,43.38,43.6,43.0351,43.135,170495,0
MDLN.US,5,20251219,174000,43.17,43.17,42.9,43.02,91342,0
MDLN.US,5,20251219,174500,43.03,43.14,42.965,42.97,121451,0
MDLN.US,5,20251219,175000,42.92,43.19,42.8,43.09,68640,0
MDLN.US,5,20251219,175500,43.09,43.13,42.83,42.9312,81373,0
MDLN.US,5,20251219,180000,42.92,43.12,42.6,42.7,196781,0
MDLN.US,5,20251219,180500,42.895,42.9908,42.02,42.115,150120,0
MDLN.US,5,20251219,181000,42.2,43.1,42.075,42.935,189856,0
MDLN.US,5,20251219,181500,42.935,43.4,42.93,43.1,121522,0
MDLN.US,5,20251219,182000,43.1287,43.1588,42.77,42.83,77037,0
MDLN.US,5,20251219,182500,42.83,42.98,42.72,42.79,43992,0
MDLN.US,5,20251219,183000,42.79,42.79,42.5,42.501,57818,0
MDLN.US,5,20251219,183500,42.59,42.59,42.28,42.2958,79787,0
MDLN.US,5,20251219,184000,42.31,42.95,42.251,42.7599,136323,0
MDLN.US,5,20251219,184500,42.75,43.04,42.5,42.58,93665,0
MDLN.US,5,20251219,185000,42.575,42.7017,42.31,42.34,80340,0
MDLN.US,5,20251219,185500,42.311,42.5083,42.31,42.34,121552,0
MDLN.US,5,20251219,190000,42.34,42.44,42.1,42.38,88058,0
MDLN.US,5,20251219,190500,42.385,42.45,42.25,42.26,81465,0
MDLN.US,5,20251219,191000,42.23,42.33,42.01,42.12,105112,0
MDLN.US,5,20251219,191500,42.14,42.33,41.95,41.96,169155,0
MDLN.US,5,20251219,192000,41.9999,42.1,41.82,41.875,72019,0
MDLN.US,5,20251219,192500,41.875,41.93,41.62,41.635,107314,0
MDLN.US,5,20251219,193000,41.64,41.86,41.262,41.54,206716,0
MDLN.US,5,20251219,193500,41.66,41.66,41.29,41.43,76131,0
MDLN.US,5,20251219,194000,41.36,41.69,41.07,41.42,173101,0
MDLN.US,5,20251219,194500,41.445,41.5404,41.23,41.26,90248,0
MDLN.US,5,20251219,195000,41.29,41.765,41.22,41.285,120382,0
MDLN.US,5,20251219,195500,41.3,41.43,41.1,41.25,106696,0
MDLN.US,5,20251219,200000,41.25,41.6,41.18,41.58,116685,0
MDLN.US,5,20251219,200500,41.58,41.5841,41.02,41.125,98094,0
MDLN.US,5,20251219,201000,41.125,41.3,40.61,40.7089,138247,0
MDLN.US,5,20251219,201500,40.82,41.02,40.61,40.785,151782,0
MDLN.US,5,20251219,202000,40.785,41.175,40.78,40.87,75664,0
MDLN.US,5,20251219,202500,40.98,41.09,40.8,40.8,96755,0
MDLN.US,5,20251219,203000,40.81,41.47,40.76,41.46,262987,0
MDLN.US,5,20251219,203500,41.365,41.48,41.01,41.02,73135,0
MDLN.US,5,20251219,204000,41.0826,41.8399,40.92,41.66,404182,0
MDLN.US,5,20251219,204500,41.66,41.93,41.59,41.665,41860,0
MDLN.US,5,20251219,205000,41.665,41.8,41.21,41.47,94626,0
MDLN.US,5,20251219,205500,41.471,41.58,41.29,41.38,84319,0
MDLN.US,5,20251219,210000,41.47,41.47,40.99,41.235,484503,0
MDLN.US,5,20251219,210500,41.26,41.36,40.875,40.97,382579,0
MDLN.US,5,20251219,211000,40.925,41.07,40.54,40.735,278683,0
MDLN.US,5,20251219,211500,40.735,41.29,40.735,40.93,144416,0
MDLN.US,5,20251219,212000,40.97,41.23,40.84,41.19,179043,0
MDLN.US,5,20251219,212500,41.2,41.8,41.1,41.715,110709,0
MDLN.US,5,20251219,213000,41.67,42.0464,41.6,41.905,159375,0
MDLN.US,5,20251219,213500,41.86,41.9127,41.27,41.6,185397,0
MDLN.US,5,20251219,214000,41.55,41.55,41.015,41.14,319063,0
MDLN.US,5,20251219,214500,41.22,41.28,40.67,40.88,431182,0
MDLN.US,5,20251219,215000,40.93,41.61,40.89,41.51,266969,0
MDLN.US,5,20251219,215500,41.505,41.94,41.09,41.65,2124737,0
MDLN.US,5,20251222,153000,42.1,42.85,41.6746,41.755,211653,0
MDLN.US,5,20251222,153500,41.775,41.9899,41.35,41.82,129440,0
MDLN.US,5,20251222,154000,41.83,42.32,41.76,42.32,197776,0
MDLN.US,5,20251222,154500,42.32,42.89,42.2312,42.695,78871,0
MDLN.US,5,20251222,155000,42.625,42.9,42.5,42.71,64993,0
MDLN.US,5,20251222,155500,42.84,43.4,42.695,43.2,96359,0
MDLN.US,5,20251222,160000,43.1,43.2991,42.94,43.05,70974,0
MDLN.US,5,20251222,160500,43.05,43.1,42.84,42.925,78315,0
MDLN.US,5,20251222,161000,43,43.24,42.925,43.085,118704,0
MDLN.US,5,20251222,161500,43.09,43.26,42.92,43.215,76750,0
MDLN.US,5,20251222,162000,43.16,43.2681,42.88,42.915,73182,0
MDLN.US,5,20251222,162500,42.915,43.3,42.8801,43.19,112416,0
MDLN.US,5,20251222,163000,43.195,43.26,43.04,43.055,69055,0
MDLN.US,5,20251222,163500,43.07,43.07,42.73,42.87,87213,0
MDLN.US,5,20251222,164000,42.85,43.02,42.69,43.019,45044,0
MDLN.US,5,20251222,164500,42.98,43.05,42.91,42.92,47339,0
MDLN.US,5,20251222,165000,42.91,43,42.88,43,33811,0
MDLN.US,5,20251222,165500,42.99,43.02,42.88,42.98,38973,0
MDLN.US,5,20251222,170000,42.94,43.28,42.68,42.74,49052,0
MDLN.US,5,20251222,170500,42.685,43.05,42.5001,43.025,38741,0
MDLN.US,5,20251222,171000,43.0404,43.29,42.98,43.175,43184,0
MDLN.US,5,20251222,171500,43.23,43.23,42.97,43.04,44975,0
MDLN.US,5,20251222,172000,43.01,43.04,42.8101,42.8688,65171,0
MDLN.US,5,20251222,172500,42.88,43.02,42.64,42.64,55470,0
MDLN.US,5,20251222,173000,42.64,42.8895,42.55,42.83,36458,0
MDLN.US,5,20251222,173500,42.81,42.885,42.66,42.71,41453,0
MDLN.US,5,20251222,174000,42.71,42.88,42.635,42.87,33624,0
MDLN.US,5,20251222,174500,42.92,42.9999,42.81,42.95,44039,0
MDLN.US,5,20251222,175000,43,43,42.8,42.82,38356,0
MDLN.US,5,20251222,175500,42.97,43.2,42.86,42.96,64152,0
MDLN.US,5,20251222,180000,42.95,43.045,42.854,43.03,25155,0
MDLN.US,5,20251222,180500,42.995,43.03,42.85,42.895,41380,0
MDLN.US,5,20251222,181000,42.885,42.91,42.72,42.755,28956,0
MDLN.US,5,20251222,181500,42.77,42.96,42.75,42.855,45466,0
MDLN.US,5,20251222,182000,42.855,42.95,42.8,42.885,53056,0
MDLN.US,5,20251222,182500,42.9,42.98,42.88,42.975,54370,0
MDLN.US,5,20251222,183000,42.975,43.02,42.95,42.985,29652,0
MDLN.US,5,20251222,183500,42.985,43.4,42.97,43.3767,78668,0
MDLN.US,5,20251222,184000,43.345,43.45,42.84,43,353698,0
MDLN.US,5,20251222,184500,43.01,43.3,42.98,43.205,118416,0
MDLN.US,5,20251222,185000,43.205,43.3699,43.19,43.205,60564,0
MDLN.US,5,20251222,185500,43.205,43.25,43.16,43.21,35975,0
MDLN.US,5,20251222,190000,43.21,43.23,43.11,43.21,37151,0
MDLN.US,5,20251222,190500,43.21,43.21,43,43.035,44895,0
MDLN.US,5,20251222,191000,43.03,43.035,42.94,42.98,36241,0
MDLN.US,5,20251222,191500,43.01,43.18,42.97,43.11,59193,0
MDLN.US,5,20251222,192000,43.11,43.23,43.11,43.22,34044,0
MDLN.US,5,20251222,192500,43.18,43.21,43.01,43.165,46560,0
MDLN.US,5,20251222,193000,43.165,43.19,42.96,42.9875,36189,0
MDLN.US,5,20251222,193500,43.02,43.21,43.01,43.13,50270,0
MDLN.US,5,20251222,194000,43.16,43.22,43.05,43.2,24900,0
MDLN.US,5,20251222,194500,43.2,43.2,43.07,43.09,35274,0
MDLN.US,5,20251222,195000,43.09,43.12,42.94,43.04,59260,0
MDLN.US,5,20251222,195500,43.04,43.07,42.94,43,51095,0
MDLN.US,5,20251222,200000,43,43.15,42.98,43.03,49559,0
MDLN.US,5,20251222,200500,43.03,43.03,42.92,43,35995,0
MDLN.US,5,20251222,201000,43,43.14,42.98,43.01,37140,0
MDLN.US,5,20251222,201500,43.03,43.03,42.93,42.98,44899,0
MDLN.US,5,20251222,202000,42.98,43.085,42.8501,42.94,68635,0
MDLN.US,5,20251222,202500,42.96,42.96,42.75,42.795,69163,0
MDLN.US,5,20251222,203000,42.795,42.81,42.55,42.765,55733,0
MDLN.US,5,20251222,203500,42.765,42.91,42.56,42.6,68028,0
MDLN.US,5,20251222,204000,42.6,42.65,42.32,42.62,86621,0
MDLN.US,5,20251222,204500,42.6,42.69,42.32,42.32,77659,0
MDLN.US,5,20251222,205000,42.32,42.43,42.17,42.38,72174,0
MDLN.US,5,20251222,205500,42.38,42.7,42.37,42.67,50066,0
MDLN.US,5,20251222,210000,42.67,42.91,42.4,42.465,39551,0
MDLN.US,5,20251222,210500,42.46,42.7,42.18,42.64,51757,0
MDLN.US,5,20251222,211000,42.65,42.72,42.58,42.65,43671,0
MDLN.US,5,20251222,211500,42.59,42.7,42.5,42.585,75795,0
MDLN.US,5,20251222,212000,42.5915,42.65,42.54,42.57,50219,0
MDLN.US,5,20251222,212500,42.59,42.71,42.58,42.66,49168,0
MDLN.US,5,20251222,213000,42.66,42.66,42.5,42.605,70988,0
MDLN.US,5,20251222,213500,42.605,42.66,42.56,42.57,68871,0
MDLN.US,5,20251222,214000,42.56,42.74,42.56,42.72,70931,0
MDLN.US,5,20251222,214500,42.73,42.74,42.51,42.56,94554,0
MDLN.US,5,20251222,215000,42.55,42.59,42.18,42.2,152294,0
MDLN.US,5,20251222,215500,42.22,42.43,42.04,42.18,459519,0
