<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPIT.US,5,20251009,191000,26.71,26.71,26.71,26.71,767,0
SPIT.US,5,20251009,191500,26.6698,26.6698,26.6698,26.6698,2500,0
SPIT.US,5,20251013,182000,26.9,26.9,26.9,26.9,100,0
SPIT.US,5,20251015,153000,27.5,27.5,27.5,27.5,100,0
SPIT.US,5,20251015,160500,27.5615,27.5615,27.5615,27.5615,100,0
SPIT.US,5,20251015,161000,27.5415,27.6,27.5415,27.6,200,0
SPIT.US,5,20251015,161500,27.3915,27.45,27.3915,27.45,200,0
SPIT.US,5,20251015,172500,27.5,27.5,27.5,27.5,100,0
SPIT.US,5,20251015,180000,27.4,27.4,27.4,27.4,100,0
SPIT.US,5,20251016,193000,27.4452,27.4452,27.4452,27.4452,3000,0
SPIT.US,5,20251016,195000,27.39,27.41,27.3899,27.3899,6000,0
SPIT.US,5,20251017,172000,26.53,26.53,26.53,26.53,100,0
SPIT.US,5,20251017,173500,26.47,26.47,26.47,26.47,100,0
SPIT.US,5,20251017,175000,26.68,26.68,26.68,26.68,100,0
SPIT.US,5,20251017,180500,26.77,26.77,26.77,26.77,100,0
SPIT.US,5,20251017,193000,26.595,26.595,26.595,26.595,3000,0
SPIT.US,5,20251020,211500,27.3123,27.3123,27.3123,27.3123,147,0
SPIT.US,5,20251020,213000,27.3,27.3,27.2999,27.3,2400,0
SPIT.US,5,20251021,205500,27.01,27.01,26.95,26.96,2225,0
SPIT.US,5,20251021,211000,27.05,27.05,27.05,27.05,1700,0
SPIT.US,5,20251021,211500,27.05,27.05,27.05,27.05,1300,0
SPIT.US,5,20251023,174500,26.801,26.835,26.79,26.835,2241,0
SPIT.US,5,20251023,214000,27.08,27.08,27.08,27.08,1100,0
SPIT.US,5,20251023,214500,27.06,27.06,27.06,27.06,1449,0
SPIT.US,5,20251024,154500,27.43,27.43,27.42,27.42,513,0
SPIT.US,5,20251027,143000,27.82,27.82,27.82,27.82,104,0
SPIT.US,5,20251027,154500,27.65,27.65,27.65,27.65,100,0
SPIT.US,5,20251027,160000,27.6208,27.6208,27.6208,27.6208,100,0
SPIT.US,5,20251027,170500,27.57,27.57,27.57,27.57,100,0
SPIT.US,5,20251027,205500,27.62,27.62,27.62,27.62,200,0
SPIT.US,5,20251028,143000,27.79,27.79,27.79,27.79,1314,0
SPIT.US,5,20251028,180500,27.69,27.69,27.68,27.68,1400,0
SPIT.US,5,20251028,202000,27.7,27.7899,27.7,27.7899,3760,0
SPIT.US,5,20251029,152500,28.0431,28.0431,28.0431,28.0431,1937,0
SPIT.US,5,20251029,171000,28.18,28.1801,28.171,28.171,500,0
SPIT.US,5,20251029,201000,28.12,28.12,28.12,28.12,100,0
SPIT.US,5,20251029,203000,27.97,27.97,27.97,27.97,100,0
SPIT.US,5,20251029,204000,27.9,27.9,27.9,27.9,100,0
SPIT.US,5,20251029,205500,28.02,28.02,28.02,28.02,100,0
SPIT.US,5,20251030,143000,28.2,28.2,28.2,28.2,933,0
SPIT.US,5,20251030,171500,28.39,28.4,28.35,28.4,1000,0
SPIT.US,5,20251030,174500,28.34,28.34,28.34,28.34,400,0
SPIT.US,5,20251030,185500,28.23,28.23,28.23,28.23,100,0
SPIT.US,5,20251030,191000,28.19,28.19,28.19,28.19,500,0
SPIT.US,5,20251030,193000,28.22,28.22,28.21,28.21,200,0
SPIT.US,5,20251030,195000,28.18,28.18,28.18,28.18,500,0
SPIT.US,5,20251030,204500,28.1,28.1,28.1,28.1,150,0
SPIT.US,5,20251030,205500,28.09,28.09,28.09,28.09,200,0
SPIT.US,5,20251031,202000,28.26,28.305,28.26,28.305,1000,0
