<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOYY.US,5,20251105,161500,24.21,24.21,24.21,24.21,100,0
IOYY.US,5,20251105,165000,24.4686,24.4686,24.4686,24.4686,100,0
IOYY.US,5,20251105,171000,24.37,24.37,24.37,24.37,100,0
IOYY.US,5,20251105,173000,24.2395,24.2395,24.2395,24.2395,452,0
IOYY.US,5,20251105,181500,24.255,24.26,24.25,24.25,1000,0
IOYY.US,5,20251105,195000,24.4,24.4,24.4,24.4,100,0
IOYY.US,5,20251105,213500,24.44,24.44,24.4399,24.4399,200,0
IOYY.US,5,20251105,215000,24.445,24.445,24.445,24.445,100,0
IOYY.US,5,20251105,215500,24.42,24.42,24.42,24.42,100,0
IOYY.US,5,20251106,153000,24.88,24.88,24.39,24.4355,9140,0
IOYY.US,5,20251106,153500,24.4774,24.68,24.4774,24.5929,2400,0
IOYY.US,5,20251106,154000,24.57,24.602,24.495,24.602,950,0
IOYY.US,5,20251106,154500,24.85,24.85,24.785,24.82,2500,0
IOYY.US,5,20251106,155000,24.68,24.74,24.45,24.4592,1737,0
IOYY.US,5,20251106,155500,24.4611,24.5,24.4611,24.4899,663,0
IOYY.US,5,20251106,160000,24.5389,24.54,24.49,24.5,4150,0
IOYY.US,5,20251106,160500,24.65,24.65,24.65,24.65,100,0
IOYY.US,5,20251106,161500,24.65,24.65,24.65,24.65,1298,0
IOYY.US,5,20251106,162000,24.74,24.74,24.74,24.74,100,0
IOYY.US,5,20251106,162500,24.77,24.78,24.7699,24.78,1099,0
IOYY.US,5,20251106,163000,24.64,24.69,24.52,24.5225,861,0
IOYY.US,5,20251106,163500,24.54,24.54,24.23,24.23,4930,0
IOYY.US,5,20251106,164000,24.2795,24.2795,24.25,24.25,909,0
IOYY.US,5,20251106,164500,24.34,24.34,24.24,24.24,1800,0
IOYY.US,5,20251106,170000,24.6888,24.829,24.6888,24.75,1400,0
IOYY.US,5,20251106,170500,24.81,24.83,24.7489,24.79,575,0
IOYY.US,5,20251106,171000,24.6095,24.6095,24.6095,24.6095,300,0
IOYY.US,5,20251106,171500,24.709,24.709,24.709,24.709,193,0
IOYY.US,5,20251106,172000,24.61,24.65,24.5,24.6499,1010,0
IOYY.US,5,20251106,172500,24.485,24.55,24.485,24.55,670,0
IOYY.US,5,20251106,173000,24.54,24.54,24.486,24.54,1200,0
IOYY.US,5,20251106,173500,24.49,24.4991,24.49,24.4991,300,0
IOYY.US,5,20251106,174000,24.43,24.44,24.43,24.44,200,0
IOYY.US,5,20251106,175000,24.55,24.5559,24.55,24.5559,200,0
IOYY.US,5,20251106,175500,24.4,24.46,24.38,24.38,436,0
IOYY.US,5,20251106,180000,24.5,24.56,24.477,24.56,708,0
IOYY.US,5,20251106,180500,24.57,24.5899,24.53,24.53,2309,0
IOYY.US,5,20251106,181000,24.5,24.5,24.45,24.45,800,0
