<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNMEU.US,5,20250815,185500,9.996,10.005,9.996,10,1720,0
VNMEU.US,5,20250815,200500,10,10.005,10,10.005,3990,0
VNMEU.US,5,20250815,201500,10,10,10,10,15400,0
VNMEU.US,5,20250815,202500,9.99,9.99,9.99,9.99,800,0
VNMEU.US,5,20250815,215500,9.995,9.995,9.995,9.995,608,0
VNMEU.US,5,20250818,165000,10,10,10,10,922,0
VNMEU.US,5,20250818,205500,10,10,10,10,700,0
VNMEU.US,5,20250818,215500,9.99,9.99,9.99,9.99,548,0
VNMEU.US,5,20250819,153000,10,10.065,10,10.065,700,0
VNMEU.US,5,20250819,163000,10,10,10,10,500,0
VNMEU.US,5,20250819,170000,10,10,10,10,500,0
VNMEU.US,5,20250819,174500,10,10,10,10,184973,0
VNMEU.US,5,20250819,193000,9.9946,9.9946,9.9946,9.9946,500,0
VNMEU.US,5,20250819,211000,10,10,10,10,307010,0
VNMEU.US,5,20250819,212000,9.998,9.998,9.998,9.998,2000,0
VNMEU.US,5,20250819,213000,10,10,9.99,9.99,141600,0
VNMEU.US,5,20250819,213500,9.99,9.99,9.99,9.99,52600,0
VNMEU.US,5,20250819,214000,9.98,9.98,9.98,9.98,146,0
VNMEU.US,5,20250819,214500,9.99,9.99,9.99,9.99,100,0
VNMEU.US,5,20250819,215500,9.99,9.99,9.99,9.99,100,0
VNMEU.US,5,20250820,153000,9.9972,9.9972,9.9972,9.9972,200,0
VNMEU.US,5,20250820,155000,9.9999,10,9.9894,9.99,3900,0
VNMEU.US,5,20250820,165500,9.99,9.99,9.99,9.99,2100,0
VNMEU.US,5,20250820,171000,9.99,9.99,9.99,9.99,1500,0
VNMEU.US,5,20250820,183500,9.99,9.99,9.99,9.99,1700,0
VNMEU.US,5,20250820,194000,9.99,9.99,9.99,9.99,930300,0
VNMEU.US,5,20250820,211000,9.9901,9.9953,9.99,9.9901,1000,0
VNMEU.US,5,20250820,212000,10,10,10,10,400,0
VNMEU.US,5,20250820,213500,10,10,10,10,223,0
VNMEU.US,5,20250820,215000,9.99,9.99,9.99,9.99,300,0
VNMEU.US,5,20250821,162500,9.98,9.98,9.98,9.98,329,0
VNMEU.US,5,20250821,164000,9.99,9.9953,9.99,9.9953,1000,0
VNMEU.US,5,20250821,173500,9.9908,9.9953,9.99,9.99,1200,0
VNMEU.US,5,20250821,215500,10,10,10,10,591,0
VNMEU.US,5,20250822,153000,9.97,10.0356,9.97,9.9967,800,0
VNMEU.US,5,20250822,153500,10.0448,10.0448,9.9944,9.9944,1800,0
VNMEU.US,5,20250822,154000,10.045,10.045,9.99,9.9901,1000,0
VNMEU.US,5,20250822,155000,9.99,9.9906,9.99,9.9906,200,0
VNMEU.US,5,20250822,163000,10,10.0106,10,10.0017,2000,0
VNMEU.US,5,20250822,163500,10.0001,10.0106,10,10.0106,700,0
VNMEU.US,5,20250822,170500,10,10,10,10,291,0
VNMEU.US,5,20250822,172000,10.01,10.01,10.01,10.01,5000,0
VNMEU.US,5,20250822,173000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250822,182500,10.01,10.01,10.01,10.01,1600,0
VNMEU.US,5,20250822,185000,10.01,10.01,10.01,10.01,1000,0
VNMEU.US,5,20250825,164500,10.0001,10.0001,10.0001,10.0001,329,0
VNMEU.US,5,20250825,172500,10,10,10,10,334,0
VNMEU.US,5,20250825,194000,10.0065,10.0065,10.0065,10.0065,1500,0
VNMEU.US,5,20250825,205000,10.01,10.01,10.0099,10.01,2000,0
VNMEU.US,5,20250826,212000,10,10,10,10,100,0
VNMEU.US,5,20250827,160500,10,10,10,10,150,0
VNMEU.US,5,20250827,194000,10,10,10,10,4950,0
VNMEU.US,5,20250828,160500,10,10,10,10,130,0
VNMEU.US,5,20250828,174000,10,10,10,10,5294,0
VNMEU.US,5,20250828,185000,10,10,10,10,776,0
VNMEU.US,5,20250828,215500,9.98,9.98,9.98,9.98,200,0
VNMEU.US,5,20250829,162000,10,10,10,10,121,0
VNMEU.US,5,20250829,172000,10,10,10,10,200,0
VNMEU.US,5,20250829,200000,10.0054,10.0054,10,10,1100,0
VNMEU.US,5,20250829,201500,10,10,10,10,4779,0
VNMEU.US,5,20250829,215500,9.98,9.98,9.98,9.98,100,0
VNMEU.US,5,20250902,161500,9.9803,9.9803,9.9803,9.9803,110,0
VNMEU.US,5,20250902,183000,9.98,9.98,9.98,9.98,234,0
VNMEU.US,5,20250903,172000,9.98,9.98,9.98,9.98,111,0
VNMEU.US,5,20250903,212000,10,10,10,10,100,0
VNMEU.US,5,20250903,215000,9.9901,9.9954,9.99,9.9954,900,0
VNMEU.US,5,20250904,175000,9.98,9.98,9.98,9.98,200,0
VNMEU.US,5,20250905,164000,9.98,9.98,9.98,9.98,223,0
VNMEU.US,5,20250905,170500,9.98,9.98,9.98,9.98,100,0
VNMEU.US,5,20250908,153000,10.01,10.01,10.01,10.01,7700,0
VNMEU.US,5,20250908,154500,10.02,10.02,10.02,10.02,600,0
VNMEU.US,5,20250908,163000,10.02,10.02,10.02,10.02,539,0
VNMEU.US,5,20250908,205500,10.02,10.02,10.02,10.02,400,0
VNMEU.US,5,20250908,210000,10.02,10.02,10.02,10.02,400,0
VNMEU.US,5,20250908,210500,10.02,10.02,10.02,10.02,400,0
VNMEU.US,5,20250908,211000,10.02,10.02,10.02,10.02,400,0
VNMEU.US,5,20250908,214000,10.02,10.02,10.02,10.02,100,0
VNMEU.US,5,20250908,215500,10.01,10.01,10.01,10.01,700,0
VNMEU.US,5,20250909,204000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250910,171000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250910,194000,10.01,10.01,10.01,10.01,3242,0
VNMEU.US,5,20250910,202000,10.01,10.03,9.97,9.97,93768,0
VNMEU.US,5,20250910,202500,10.01,10.01,9.97,9.97,6232,0
VNMEU.US,5,20250910,215500,9.98,9.98,9.98,9.98,600,0
VNMEU.US,5,20250915,174500,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250916,175000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250917,184500,10.02,10.02,10.01,10.01,4300,0
VNMEU.US,5,20250917,185000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250917,215500,10.01,10.01,10.01,10.01,700,0
VNMEU.US,5,20250918,192500,10.01,10.02,10.01,10.02,700,0
VNMEU.US,5,20250923,173500,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250924,215000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250925,175500,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250926,173000,10.01,10.01,10.01,10.01,4187,0
VNMEU.US,5,20250926,174000,10.01,10.01,10.01,10.01,100,0
VNMEU.US,5,20250926,215500,10.01,10.01,10.01,10.01,300,0
VNMEU.US,5,20250929,163000,10.03,10.03,10.03,10.03,100,0
VNMEU.US,5,20250929,213500,10.03,10.03,10.03,10.03,3400,0
VNMEU.US,5,20251003,154000,10.03,10.03,10.03,10.03,100,0
VNMEU.US,5,20251003,154500,10.03,10.03,10.03,10.03,150,0
VNMEU.US,5,20251003,172500,10.04,10.04,10.03,10.03,600,0
VNMEU.US,5,20251003,211500,10.21,10.5635,10.03,10.0904,2555,0
VNMEU.US,5,20251003,212000,10.5441,11,10.5441,10.5896,1500,0
VNMEU.US,5,20251003,215500,10.03,10.03,10.03,10.03,600,0
VNMEU.US,5,20251006,155000,10.1577,10.1577,10.1577,10.1577,100,0
VNMEU.US,5,20251006,172500,10.04,10.04,10.04,10.04,100,0
VNMEU.US,5,20251008,174500,10.05,10.05,10.05,10.05,100,0
VNMEU.US,5,20251008,202500,10.149,10.149,10.05,10.05,200,0
VNMEU.US,5,20251008,203000,10.38,10.38,10.0533,10.38,600,0
VNMEU.US,5,20251008,203500,10.0501,10.0501,10.0501,10.0501,100,0
VNMEU.US,5,20251008,204500,10.2645,10.38,10.0746,10.0746,700,0
VNMEU.US,5,20251008,205000,10.05,10.0533,10.05,10.0533,200,0
VNMEU.US,5,20251008,205500,10.2645,10.2645,10.2645,10.2645,100,0
VNMEU.US,5,20251008,210500,10.38,10.38,10.06,10.38,400,0
VNMEU.US,5,20251016,174000,10.12,10.12,10.12,10.12,100,0
VNMEU.US,5,20251017,202500,10.12,10.12,10.12,10.12,100,0
VNMEU.US,5,20251024,190500,10.22,10.22,10.22,10.22,1100,0
VNMEU.US,5,20251028,162000,10.12,10.12,10.12,10.12,5000,0
VNMEU.US,5,20251028,162500,10.12,10.1677,10.12,10.12,10191,0
VNMEU.US,5,20251028,163000,10.12,10.1413,10.12,10.1413,18022,0
VNMEU.US,5,20251028,163500,10.1,10.1413,10.1,10.1,4832,0
VNMEU.US,5,20251028,164000,10.1945,10.27,10.1,10.1,6096,0
VNMEU.US,5,20251028,170000,10.12,10.12,10.12,10.12,100,0
VNMEU.US,5,20251029,185500,10.12,10.1201,10.12,10.1201,200,0
VNMEU.US,5,20251030,143000,10.31,10.31,10.31,10.31,200,0
VNMEU.US,5,20251030,144500,10.12,10.12,10.12,10.12,100,0
VNMEU.US,5,20251104,212500,10.24,10.25,10.24,10.25,300,0
VNMEU.US,5,20251105,153000,10.2,10.2,10.2,10.2,104,0
VNMEU.US,5,20251106,203500,10.14,10.14,10.14,10.14,105,0
VNMEU.US,5,20251114,164000,10.15,10.1501,10.15,10.1501,996,0
VNMEU.US,5,20251124,185000,10.12,10.12,10.12,10.12,161,0
VNMEU.US,5,20251124,185500,10.12,10.12,10.12,10.12,672,0
VNMEU.US,5,20251124,190500,10.12,10.12,10.12,10.12,100,0
VNMEU.US,5,20251218,155500,10.19,10.19,10.19,10.19,1600,0
