<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMUN.US,5,20251021,173500,26.17,26.17,26.17,26.17,100,0
AMUN.US,5,20251021,183000,26.1712,26.1712,26.1712,26.1712,577,0
AMUN.US,5,20251023,165000,26.02,26.02,26.02,26.02,200,0
AMUN.US,5,20251023,200000,26.055,26.055,26.055,26.055,208,0
AMUN.US,5,20251024,173500,26.05,26.05,26.05,26.05,1711,0
AMUN.US,5,20251029,155000,26.109,26.109,26.109,26.109,100,0
AMUN.US,5,20251030,203000,26.06,26.0601,25.93,25.95,8088,0
AMUN.US,5,20251103,204000,26.075,26.075,25.89,26.075,3801,0
AMUN.US,5,20251103,215500,26.03,26.03,26.03,26.03,100,0
AMUN.US,5,20251104,214000,26.11,26.11,26.11,26.11,100,0
AMUN.US,5,20251105,212000,26.05,26.0734,26.005,26.0734,2506,0
AMUN.US,5,20251107,161000,26.08,26.08,25.96,25.96,1424,0
AMUN.US,5,20251107,213500,26.06,26.06,26.01,26.01,400,0
AMUN.US,5,20251111,154000,26.089,26.089,26.089,26.089,623,0
AMUN.US,5,20251112,160500,26.1,26.11,26.1,26.1099,2900,0
AMUN.US,5,20251112,172500,26.08,26.0801,25.99,26.0801,6554,0
AMUN.US,5,20251118,171000,26.1145,26.3,26.11,26.1145,6751,0
AMUN.US,5,20251118,205500,26.1148,26.1148,26.1148,26.1148,956,0
AMUN.US,5,20251120,161000,26.0816,26.105,26.045,26.08,1326,0
AMUN.US,5,20251120,174500,26.08,26.08,26.08,26.08,100,0
AMUN.US,5,20251121,190500,26.1002,26.1002,25.97,25.97,1120,0
AMUN.US,5,20251124,162000,26.1,26.1,26.04,26.075,400,0
AMUN.US,5,20251124,195500,26.09,26.09,26.045,26.045,1236,0
AMUN.US,5,20251124,213000,26.0459,26.11,26.0459,26.11,506,0
AMUN.US,5,20251125,205000,26.12,26.12,26.11,26.11,2013,0
AMUN.US,5,20251125,213000,26.1101,26.1168,26.06,26.1168,2200,0
AMUN.US,5,20251128,153000,26.12,26.12,26.12,26.12,100,0
AMUN.US,5,20251128,161500,25.95,25.95,25.95,25.95,100,0
AMUN.US,5,20251128,165000,26.11,26.11,26.11,26.11,100,0
AMUN.US,5,20251201,162000,26.03,26.03,26.03,26.03,100,0
AMUN.US,5,20251201,183500,26.0464,26.0464,25.89,26.02,15697,0
AMUN.US,5,20251201,200000,26.02,26.02,26.02,26.02,100,0
AMUN.US,5,20251201,202000,26.02,26.02,26.01,26.01,300,0
AMUN.US,5,20251202,162000,26.03,26.03,26.03,26.03,100,0
AMUN.US,5,20251203,170500,26.05,26.05,26.05,26.05,100,0
AMUN.US,5,20251203,175500,26.05,26.05,26.05,26.05,100,0
AMUN.US,5,20251203,201500,26.0799,26.08,26.065,26.0799,4134,0
AMUN.US,5,20251203,212000,26.08,26.08,26.08,26.08,5033,0
AMUN.US,5,20251205,165500,26.0723,26.0723,26.0723,26.0723,405,0
AMUN.US,5,20251205,190500,26.08,26.08,26.08,26.08,148,0
AMUN.US,5,20251205,203500,26.05,26.0505,25.91,26.0505,27534,0
AMUN.US,5,20251208,153000,26.09,26.09,26.09,26.09,100,0
AMUN.US,5,20251208,181500,26.0805,26.0805,26.0805,26.0805,191,0
AMUN.US,5,20251208,194000,26.04,26.04,26.04,26.04,100,0
AMUN.US,5,20251209,161000,26.07,26.07,26.07,26.07,100,0
AMUN.US,5,20251209,201500,26.075,26.075,26.075,26.075,3050,0
AMUN.US,5,20251209,202000,26.0775,26.0775,26.0775,26.0775,750,0
AMUN.US,5,20251209,215500,26.06,26.06,26.04,26.05,600,0
AMUN.US,5,20251210,163000,26.05,26.05,26.05,26.05,100,0
AMUN.US,5,20251211,201000,26.05,26.05,26.05,26.05,100,0
AMUN.US,5,20251212,160000,26.0994,26.0994,26.0994,26.0994,960,0
AMUN.US,5,20251212,161500,26.08,26.08,26.08,26.08,100,0
AMUN.US,5,20251212,173500,26.08,26.08,26.07,26.07,300,0
AMUN.US,5,20251212,180000,26.085,26.085,26.085,26.085,325,0
AMUN.US,5,20251212,215000,26.09,26.09,26.09,26.09,300,0
AMUN.US,5,20251215,161000,26.07,26.07,26.07,26.07,100,0
AMUN.US,5,20251215,215000,26.09,26.09,26.09,26.09,100,0
AMUN.US,5,20251216,175000,26.06,26.06,26.06,26.06,100,0
AMUN.US,5,20251216,182000,26.06,26.06,26.035,26.05,807,0
AMUN.US,5,20251216,201000,26.1184,26.1184,26.1184,26.1184,191,0
AMUN.US,5,20251217,163000,26.07,26.07,26.07,26.07,100,0
AMUN.US,5,20251218,161000,26.09,26.09,26.09,26.09,100,0
AMUN.US,5,20251218,200500,26.0801,26.0801,26.0801,26.0801,4986,0
AMUN.US,5,20251218,203000,26.08,26.0801,26.03,26.07,734,0
AMUN.US,5,20251218,203500,26.08,26.08,26.08,26.08,100,0
AMUN.US,5,20251219,163500,26.08,26.08,26.08,26.08,100,0
AMUN.US,5,20251222,172000,26.07,26.07,26.07,26.07,100,0
AMUN.US,5,20251222,191000,26.07,26.07,25.95,26.07,3166,0
AMUN.US,5,20251222,192500,26.124,26.124,26.124,26.124,575,0
AMUN.US,5,20251222,195000,26.1,26.1,26.1,26.1,385,0
AMUN.US,5,20251222,204000,26.1024,26.1024,26.1024,26.1024,280,0
