<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIFG.US,5,20251212,153000,15,15.43,15,15.43,400,0
CIFG.US,5,20251212,153500,15.65,15.65,15.65,15.65,100,0
CIFG.US,5,20251212,154000,15.29,15.29,15.29,15.29,100,0
CIFG.US,5,20251212,160000,16.08,16.08,15.89,15.89,200,0
CIFG.US,5,20251212,160500,15.93,15.93,15.6,15.6,200,0
CIFG.US,5,20251212,162000,15.63,15.63,15.63,15.63,132,0
CIFG.US,5,20251212,162500,15.63,15.63,15.63,15.63,100,0
CIFG.US,5,20251212,163500,14.97,14.97,14.97,14.97,100,0
CIFG.US,5,20251212,165000,14.96,14.96,14.96,14.96,100,0
CIFG.US,5,20251212,170000,14.43,14.46,14.3,14.3,600,0
CIFG.US,5,20251212,191000,14.12,14.13,14.12,14.13,488,0
CIFG.US,5,20251212,191500,13.76,13.76,13.76,13.76,200,0
CIFG.US,5,20251212,192000,13.821,13.83,13.821,13.83,488,0
CIFG.US,5,20251212,192500,14.015,14.17,14.015,14.17,488,0
CIFG.US,5,20251212,194500,14.23,14.23,14.04,14.04,488,0
CIFG.US,5,20251215,153000,11.56,11.56,11.54,11.54,200,0
CIFG.US,5,20251215,155000,9.82,9.82,9.51,9.61,300,0
CIFG.US,5,20251215,161500,9.42,9.43,9.42,9.43,400,0
CIFG.US,5,20251215,164000,9.34,9.45,9.34,9.45,12949,0
CIFG.US,5,20251215,165000,10.09,10.09,9.47,9.47,13100,0
CIFG.US,5,20251215,170500,9.65,9.79,9.625,9.79,773,0
CIFG.US,5,20251215,171000,9.86,9.86,9.86,9.86,954,0
CIFG.US,5,20251215,172000,10.049,10.049,10.049,10.049,388,0
CIFG.US,5,20251215,172500,10.02,10.02,10.02,10.02,300,0
CIFG.US,5,20251215,175000,9.62,9.62,9.62,9.62,500,0
CIFG.US,5,20251215,181000,9.589,9.589,9.51,9.51,1288,0
CIFG.US,5,20251215,182500,9.535,9.7,9.535,9.67,600,0
CIFG.US,5,20251215,192000,9.38,9.38,9.38,9.38,100,0
CIFG.US,5,20251215,194500,9.33,9.33,9.33,9.33,288,0
CIFG.US,5,20251215,195500,9.4601,9.4601,9.4601,9.4601,273,0
CIFG.US,5,20251215,202500,9.83,9.83,9.83,9.83,100,0
CIFG.US,5,20251215,203000,9.75,9.75,9.7449,9.7449,389,0
CIFG.US,5,20251215,212000,9.29,9.29,9.22,9.22,988,0
CIFG.US,5,20251215,213500,9.065,9.065,9.01,9.01,200,0
CIFG.US,5,20251215,215000,9.014,9.06,9.014,9.06,14700,0
CIFG.US,5,20251215,215500,9.1681,9.1681,9.1681,9.1681,100,0
CIFG.US,5,20251216,155000,8.969,8.969,8.969,8.969,1000,0
CIFG.US,5,20251216,160500,8.79,8.79,8.79,8.79,3700,0
CIFG.US,5,20251216,161000,8.52,8.545,8.49,8.525,5956,0
CIFG.US,5,20251216,163500,8.2,8.2,8.2,8.2,14695,0
CIFG.US,5,20251216,165000,8.369,8.37,8.369,8.37,688,0
CIFG.US,5,20251216,165500,8.2453,8.2453,8.2453,8.2453,389,0
CIFG.US,5,20251216,181500,8.2953,8.2953,8.2953,8.2953,101,0
CIFG.US,5,20251216,182000,8.27,8.27,8.27,8.27,1800,0
CIFG.US,5,20251216,182500,8.21,8.21,8.21,8.21,310,0
CIFG.US,5,20251216,192000,7.9,7.9,7.81,7.81,1297,0
CIFG.US,5,20251216,195000,8.27,8.27,8.27,8.27,978,0
CIFG.US,5,20251216,202500,8.5,8.5,8.5,8.5,100,0
CIFG.US,5,20251216,204000,8.5069,8.5069,8.5069,8.5069,1200,0
CIFG.US,5,20251216,204500,8.58,8.58,8.58,8.58,100,0
CIFG.US,5,20251216,205500,8.93,8.93,8.93,8.93,100,0
CIFG.US,5,20251216,210000,9.32,9.32,9.3185,9.3185,1000,0
CIFG.US,5,20251216,211500,8.96,8.96,8.96,8.96,100,0
CIFG.US,5,20251216,212000,9.1592,9.1592,9.1592,9.1592,373,0
CIFG.US,5,20251216,212500,9.27,9.27,9.27,9.27,100,0
CIFG.US,5,20251216,213000,9.36,9.41,9.28,9.41,1800,0
CIFG.US,5,20251216,214500,9.321,9.33,9.321,9.33,999,0
CIFG.US,5,20251216,215000,9.54,9.54,9.54,9.54,100,0
CIFG.US,5,20251216,215500,9.44,9.44,9.44,9.44,200,0
CIFG.US,5,20251217,153000,10.39,10.47,10.35,10.45,1135,0
CIFG.US,5,20251217,153500,10.23,10.23,10.0888,10.0888,1500,0
CIFG.US,5,20251217,154000,9.815,9.815,9.815,9.815,100,0
CIFG.US,5,20251217,154500,9.63,9.63,9.58,9.58,200,0
CIFG.US,5,20251217,155000,9.56,9.56,9.56,9.56,100,0
CIFG.US,5,20251217,155500,10.119,10.2573,10.119,10.2573,801,0
CIFG.US,5,20251217,160000,10.34,10.34,10.34,10.34,488,0
