<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHAR.US,5,20250804,180000,10.33,10.33,10.33,10.33,1000,0
CHAR.US,5,20250804,180500,11.3,11.3,10.58,10.58,310,0
CHAR.US,5,20250804,181000,10.56,10.57,10.34,10.34,3600,0
CHAR.US,5,20250804,181500,10.48,10.48,10.32,10.32,1321,0
CHAR.US,5,20250804,182000,10.32,10.32,10.29,10.29,2311,0
CHAR.US,5,20250804,212500,10.29,10.29,10.29,10.29,300,0
CHAR.US,5,20250805,190500,10.32,10.32,10.31,10.31,1500,0
CHAR.US,5,20250805,211500,10.31,10.31,10.31,10.31,1400,0
CHAR.US,5,20250805,214000,10.3,10.3,10.3,10.3,100,0
CHAR.US,5,20250807,153000,10.39,10.39,10.39,10.39,100,0
CHAR.US,5,20250808,205000,10.33,10.33,10.33,10.33,100,0
CHAR.US,5,20250808,215000,10.35,10.35,10.35,10.35,200,0
CHAR.US,5,20250811,153500,10.305,10.305,10.305,10.305,100,0
CHAR.US,5,20250811,214500,10.3,10.3,10.3,10.3,183,0
CHAR.US,5,20250814,153000,10.34,10.34,10.34,10.34,1000,0
CHAR.US,5,20250825,212500,10.32,10.32,10.32,10.32,2000,0
CHAR.US,5,20250827,193500,10.32,10.32,10.32,10.32,2600,0
CHAR.US,5,20250827,204500,10.32,10.32,10.32,10.32,9000,0
CHAR.US,5,20250827,214500,10.31,10.31,10.31,10.31,8500,0
CHAR.US,5,20250829,172500,10.3,10.3,10.3,10.3,100,0
CHAR.US,5,20250904,181500,10.3,10.3,10.3,10.3,10875,0
CHAR.US,5,20250905,215500,10.31,10.31,10.31,10.31,25000,0
CHAR.US,5,20250909,154000,10.32,10.32,10.32,10.32,6000,0
CHAR.US,5,20250909,154500,10.32,10.32,10.32,10.32,18000,0
CHAR.US,5,20250909,215500,10.31,10.31,10.31,10.31,50000,0
CHAR.US,5,20250910,175500,10.32,10.32,10.32,10.32,9250,0
CHAR.US,5,20250911,153500,10.32,10.32,10.32,10.32,100000,0
CHAR.US,5,20250915,204000,10.34,10.34,10.34,10.34,76292,0
CHAR.US,5,20250915,204500,10.34,10.34,10.34,10.34,19500,0
CHAR.US,5,20250917,182000,10.35,10.35,10.35,10.35,500,0
CHAR.US,5,20250917,182500,10.35,10.35,10.35,10.35,1500,0
CHAR.US,5,20250917,212000,10.35,10.35,10.35,10.35,500,0
CHAR.US,5,20250918,185500,10.33,10.33,10.33,10.33,2500,0
CHAR.US,5,20250923,212000,10.36,10.36,10.36,10.36,1000,0
CHAR.US,5,20250925,182000,10.35,10.35,10.35,10.35,75725,0
CHAR.US,5,20250926,215000,10.35,10.35,10.35,10.35,50000,0
CHAR.US,5,20250930,183500,10.36,10.36,10.36,10.36,145,0
CHAR.US,5,20251001,205000,10.34,10.34,10.34,10.34,1876,0
CHAR.US,5,20251002,155500,10.35,10.35,10.35,10.35,11000,0
CHAR.US,5,20251006,160500,10.38,10.38,10.38,10.38,100,0
CHAR.US,5,20251006,165000,10.35,10.35,10.35,10.35,100,0
CHAR.US,5,20251013,213500,10.36,10.36,10.36,10.36,100,0
CHAR.US,5,20251017,160500,10.38,10.38,10.38,10.38,1600,0
CHAR.US,5,20251017,162000,10.38,10.38,10.38,10.38,1600,0
CHAR.US,5,20251017,165500,10.38,10.38,10.38,10.38,800,0
CHAR.US,5,20251024,191500,10.39,10.39,10.39,10.39,1000,0
CHAR.US,5,20251110,202500,10.4,10.4,10.4,10.4,900,0
CHAR.US,5,20251113,154500,10.4,10.4,10.4,10.4,4992,0
CHAR.US,5,20251113,155000,10.39,10.4,10.39,10.4,10029,0
CHAR.US,5,20251113,155500,10.4,10.4,10.4,10.4,400,0
CHAR.US,5,20251113,162000,10.39,10.39,10.39,10.39,907,0
CHAR.US,5,20251113,171500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,172500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,174000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,175000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,180500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,183000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,184000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,185500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,190500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,193500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,194500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,200000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,201500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,204500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,210000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,211500,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251113,213000,10.4,10.4,10.4,10.4,100,0
CHAR.US,5,20251119,153000,10.41,10.41,10.41,10.41,1000,0
CHAR.US,5,20251119,154500,10.42,10.42,10.42,10.42,1100,0
CHAR.US,5,20251119,155000,10.42,10.42,10.42,10.42,3900,0
CHAR.US,5,20251125,153000,10.5,10.5,10.5,10.5,201,0
CHAR.US,5,20251128,190000,10.42,10.42,10.42,10.42,246,0
CHAR.US,5,20251205,153000,10.45,10.45,10.45,10.45,251,0
CHAR.US,5,20251205,203000,10.46,10.46,10.4599,10.4599,1850,0
CHAR.US,5,20251205,215500,10.46,10.46,10.46,10.46,300,0
CHAR.US,5,20251210,163000,10.43,10.43,10.43,10.43,100,0
CHAR.US,5,20251211,173500,10.43,10.43,10.43,10.43,100,0
CHAR.US,5,20251211,213000,10.43,10.45,10.43,10.45,480,0
CHAR.US,5,20251215,162000,10.47,10.47,10.47,10.47,4946,0
CHAR.US,5,20251215,173500,10.43,10.43,10.43,10.43,100,0
CHAR.US,5,20251216,153000,10.43,10.43,10.43,10.43,2840,0
CHAR.US,5,20251216,181500,10.44,10.4401,10.44,10.4401,2000,0
CHAR.US,5,20251218,164500,10.45,10.45,10.45,10.45,200,0
