<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCTK.US,5,20251215,165000,24.91,24.91,24.8386,24.8386,1544,0
BCTK.US,5,20251215,171500,24.83,24.83,24.83,24.83,200,0
BCTK.US,5,20251215,175500,24.91,24.91,24.91,24.91,200,0
BCTK.US,5,20251215,181500,24.91,24.91,24.91,24.91,133,0
BCTK.US,5,20251215,184500,24.85,24.96,24.8499,24.96,1320,0
BCTK.US,5,20251215,185000,24.96,24.96,24.8468,24.8468,400,0
BCTK.US,5,20251215,190000,24.85,24.8691,24.83,24.8691,600,0
BCTK.US,5,20251215,190500,24.8691,24.9087,24.8691,24.9087,300,0
BCTK.US,5,20251215,191000,24.9,24.9,24.9,24.9,910,0
BCTK.US,5,20251215,191500,24.9087,24.9087,24.84,24.84,300,0
BCTK.US,5,20251215,192000,24.88,25.06,24.88,24.8895,8900,0
BCTK.US,5,20251215,192500,24.84,24.88,24.84,24.88,500,0
BCTK.US,5,20251215,194000,24.7811,24.7811,24.7811,24.7811,100,0
BCTK.US,5,20251215,195500,24.89,24.89,24.89,24.89,100,0
BCTK.US,5,20251215,200000,24.889,24.89,24.67,24.67,4185,0
BCTK.US,5,20251215,201000,24.7816,24.7816,24.7816,24.7816,123,0
BCTK.US,5,20251215,202000,24.83,24.83,24.8299,24.8299,2000,0
BCTK.US,5,20251215,202500,24.7858,24.7858,24.72,24.72,2198,0
BCTK.US,5,20251215,205000,24.81,24.83,24.8099,24.83,2200,0
BCTK.US,5,20251215,205500,24.81,24.81,24.81,24.81,100,0
BCTK.US,5,20251215,210000,24.81,24.81,24.8099,24.81,1117,0
BCTK.US,5,20251215,210500,24.7495,24.7495,24.7495,24.7495,100,0
BCTK.US,5,20251215,212000,24.81,24.81,24.75,24.75,300,0
BCTK.US,5,20251215,214500,24.75,24.75,24.7488,24.7488,871,0
BCTK.US,5,20251215,215000,24.73,24.73,24.73,24.73,100,0
