<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDFN.US,5,20250929,211000,26.25,26.25,26.25,26.25,241,0
GDFN.US,5,20250929,214500,26.2687,26.27,26.2687,26.27,794,0
GDFN.US,5,20250929,215000,26.244,26.244,26.244,26.244,100,0
GDFN.US,5,20250930,153500,26.92,26.92,26.92,26.92,100,0
GDFN.US,5,20250930,162000,26.66,26.66,26.66,26.66,101,0
GDFN.US,5,20250930,163500,26.655,26.655,26.655,26.655,100,0
GDFN.US,5,20250930,173500,26.67,26.67,26.67,26.67,1000,0
GDFN.US,5,20250930,205500,26.43,26.43,26.43,26.43,100,0
GDFN.US,5,20250930,211500,26.618,26.618,26.618,26.618,100,0
GDFN.US,5,20251001,211000,26.275,26.275,26.275,26.275,100,0
GDFN.US,5,20251001,214500,26.3488,26.3488,26.3488,26.3488,116,0
GDFN.US,5,20251002,153000,26.82,26.82,26.82,26.82,110,0
GDFN.US,5,20251002,154500,26.71,26.71,26.71,26.71,100,0
GDFN.US,5,20251002,160500,26.71,26.71,26.7099,26.7099,224,0
GDFN.US,5,20251003,153500,27.05,27.11,27.05,27.11,300,0
GDFN.US,5,20251003,154000,27.09,27.11,27.035,27.035,3300,0
GDFN.US,5,20251003,154500,27.05,27.05,27.05,27.05,100,0
GDFN.US,5,20251003,160000,27,27,27,27,100,0
GDFN.US,5,20251003,164000,27,27,27,27,250,0
GDFN.US,5,20251003,211000,26.93,26.93,26.93,26.93,1000,0
GDFN.US,5,20251003,214500,26.95,26.95,26.95,26.95,200,0
GDFN.US,5,20251006,153000,26.81,26.81,26.81,26.81,1050,0
GDFN.US,5,20251006,182000,26.56,26.56,26.56,26.56,100,0
GDFN.US,5,20251006,194500,26.56,26.56,26.5575,26.5575,800,0
GDFN.US,5,20251006,203500,26.56,26.56,26.56,26.56,100,0
GDFN.US,5,20251006,204000,26.56,26.56,26.56,26.56,100,0
GDFN.US,5,20251006,205000,26.56,26.56,26.56,26.56,100,0
GDFN.US,5,20251006,205500,26.56,26.56,26.56,26.56,100,0
GDFN.US,5,20251007,153000,26.3,26.3,26.3,26.3,101,0
GDFN.US,5,20251007,175500,26.1915,26.1915,26.1915,26.1915,400,0
GDFN.US,5,20251010,153000,25.75,25.75,25.75,25.75,100,0
GDFN.US,5,20251010,161500,25.7,25.7,25.7,25.7,1780,0
GDFN.US,5,20251014,153000,25.08,25.08,24.9585,24.9585,325,0
GDFN.US,5,20251014,183500,25.36,25.36,25.36,25.36,100,0
GDFN.US,5,20251014,192500,25.48,25.49,25.48,25.49,200,0
GDFN.US,5,20251017,205500,23.95,23.95,23.95,23.95,100,0
GDFN.US,5,20251020,193500,24.62,24.62,24.62,24.62,100,0
GDFN.US,5,20251020,194500,24.63,24.63,24.63,24.63,100,0
GDFN.US,5,20251020,195500,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,200500,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,201500,24.62,24.62,24.62,24.62,100,0
GDFN.US,5,20251020,202500,24.62,24.62,24.62,24.62,100,0
GDFN.US,5,20251020,203500,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,204500,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,205500,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,210500,24.65,24.65,24.65,24.65,100,0
GDFN.US,5,20251020,211500,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,212000,24.63,24.63,24.63,24.63,100,0
GDFN.US,5,20251020,213000,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,213500,24.65,24.65,24.65,24.65,100,0
GDFN.US,5,20251020,214000,24.64,24.64,24.64,24.64,100,0
GDFN.US,5,20251020,214500,24.65,24.65,24.65,24.65,100,0
GDFN.US,5,20251020,215000,24.65,24.65,24.65,24.65,100,0
GDFN.US,5,20251020,215500,24.63,24.63,24.63,24.63,392,0
GDFN.US,5,20251023,164500,24.94,24.94,24.8925,24.8925,200,0
GDFN.US,5,20251023,204500,24.91,24.91,24.91,24.91,500,0
GDFN.US,5,20251023,205500,24.92,24.92,24.92,24.92,100,0
GDFN.US,5,20251023,215500,24.89,24.89,24.89,24.89,500,0
GDFN.US,5,20251027,144500,24.894,24.894,24.894,24.894,193,0
GDFN.US,5,20251029,162000,24.7772,24.7772,24.7772,24.7772,100,0
GDFN.US,5,20251029,174000,24.762,24.762,24.762,24.762,100,0
GDFN.US,5,20251031,160500,24.311,24.311,24.311,24.311,250,0
GDFN.US,5,20251031,203000,24.3784,24.3784,24.3784,24.3784,150,0
GDFN.US,5,20251103,180000,24.46,24.485,24.43,24.485,2368,0
GDFN.US,5,20251105,190000,23.6601,23.6601,23.6601,23.6601,200,0
GDFN.US,5,20251107,185500,23.6796,23.6796,23.6796,23.6796,850,0
GDFN.US,5,20251107,191000,23.74,23.74,23.74,23.74,338,0
GDFN.US,5,20251107,191500,23.69,23.75,23.69,23.7098,525,0
GDFN.US,5,20251107,192500,23.7799,23.78,23.7799,23.7799,850,0
GDFN.US,5,20251113,170000,23.94,23.94,23.94,23.94,100,0
GDFN.US,5,20251113,172500,23.8531,23.8531,23.8531,23.8531,100,0
GDFN.US,5,20251113,184500,23.8999,23.8999,23.8999,23.8999,209,0
GDFN.US,5,20251113,204000,23.8,23.8,23.8,23.8,100,0
GDFN.US,5,20251113,205000,23.78,23.78,23.78,23.78,100,0
GDFN.US,5,20251113,211000,23.77,23.77,23.716,23.716,386,0
GDFN.US,5,20251113,212500,23.77,23.77,23.7699,23.7699,850,0
GDFN.US,5,20251113,214000,23.7574,23.77,23.7574,23.77,764,0
GDFN.US,5,20251113,215000,23.78,23.78,23.7799,23.7799,850,0
GDFN.US,5,20251114,161000,23.49,23.49,23.4899,23.4899,200,0
GDFN.US,5,20251114,202500,23.62,23.62,23.62,23.62,149,0
GDFN.US,5,20251117,183500,23.6427,23.6427,23.6427,23.6427,1075,0
GDFN.US,5,20251118,153000,23.4,23.43,23.4,23.43,1500,0
GDFN.US,5,20251118,154500,23.37,23.37,23.37,23.37,500,0
GDFN.US,5,20251118,160000,23.21,23.21,23.21,23.21,500,0
GDFN.US,5,20251118,161000,23.16,23.16,23.16,23.16,500,0
GDFN.US,5,20251118,162500,23.19,23.19,23.19,23.19,500,0
GDFN.US,5,20251118,164500,23.16,23.16,23.16,23.16,500,0
GDFN.US,5,20251118,193000,23.1845,23.1845,23.1845,23.1845,700,0
GDFN.US,5,20251119,204000,22.3,22.3,22.3,22.3,100,0
GDFN.US,5,20251119,205000,22.31,22.31,22.31,22.31,100,0
GDFN.US,5,20251120,154500,22.73,22.73,22.73,22.73,500,0
GDFN.US,5,20251120,172000,22.7,22.76,22.7,22.76,600,0
GDFN.US,5,20251120,172500,22.55,22.55,22.55,22.55,500,0
GDFN.US,5,20251120,173500,22.44,22.44,22.44,22.44,500,0
GDFN.US,5,20251120,195000,22.27,22.27,22.27,22.27,100,0
GDFN.US,5,20251201,191000,21.2038,21.2038,21.2038,21.2038,200,0
